Model: LGB ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.986133009904993,0.00509319414464148,0.9141818181818181,0.009510324967725123,0.913911620294599,0.009407599255777374
auc_roc,0.9991473966282381,0.0006877867056744427,0.9407730241794378,0.00972371934163354,0.9401791594092372,0.006651311396278481
recall,0.9308169130830329,0.024652539860265613,0.6385322970960094,0.03266885613684709,0.6532192930603185,0.02392271483751096
precision,0.9959716475402471,0.0029107325500127884,0.8890599022451491,0.03458350171246125,0.8735197220082533,0.041693461549895706
f1,0.9621475784115473,0.014289859579140658,0.7422682710533501,0.022002856133764362,0.7469239377179057,0.024124578724124383
kappa,0.9536756349450389,0.017367882945621207,0.692475223364615,0.025207148156047094,0.6963445747626504,0.02871702930765485
mcc,0.9545976747727994,0.016730574635901344,0.7068035321767189,0.02300392504404248,0.7074107444699288,0.029731370162668334
auc_prc,0.9969494051277034,0.0023482023726314693,0.8583431736315195,0.022134540837841873,0.8548692811969227,0.014949759462392923
