Model: XGB ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9965231453406105,0.005940244877353801,0.9125454545454545,0.011162214893215157,0.9142389525368249,0.008728177823877825
auc_roc,0.999716500367579,0.0005857169800406655,0.9424083578616657,0.008989813333433135,0.9372786006145913,0.0077444205705467645
recall,0.9818647964709507,0.030836151392143005,0.6512569322955624,0.03618049381442016,0.6621377912728474,0.024766416846633874
precision,0.9996535796766743,0.0010392609699769071,0.8669638457560914,0.035726180880278874,0.8666516970426456,0.03222594325706553
f1,0.9904407750503367,0.01640962935334686,0.7426354557748988,0.022525835313757514,0.7502107679892276,0.020273292884853956
kappa,0.9883194485770088,0.020028450829982298,0.6912685582248336,0.027415155215643847,0.69957500393041,0.02456312215706004
mcc,0.9885544572985951,0.01957240036079541,0.7023116894850194,0.025770596110020538,0.7091767841977876,0.024408146718097896
auc_prc,0.9990829161683605,0.0018656082297305958,0.860518735559217,0.022032213470368087,0.8527224132579703,0.015506332200569007
