Model: SVM ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9999797857287245,6.064281382656134e-05,0.9098181818181817,0.009278073325216789,0.9121112929623569,0.007952556866288929
auc_roc,1.0,0.0,0.9358201709955839,0.009951563831167657,0.9316127504382476,0.007265110194861824
recall,1.0,0.0,0.6296966244907518,0.03311967951139779,0.6282221542851558,0.03590021357018824
precision,0.9998942917547569,0.0003171247357293905,0.8701727447312055,0.03327158665957175,0.8891858251925399,0.039115738067815965
f1,0.9999471179270227,0.00015864621893176833,0.7297197953761564,0.021492464392663963,0.7349942916215911,0.02382746891685473
kappa,0.9999346226170855,0.00019613214874326658,0.6772776312846233,0.0241101588100068,0.6842682077123181,0.026602320181136452
mcc,0.9999346439741317,0.00019606807760520485,0.6906995854028025,0.0226591315410904,0.699918715948551,0.02418538317087306
auc_prc,1.0,4.965068306494546e-17,0.8320999392591162,0.030564440196765765,0.8364077316329339,0.02412400233985753
