dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,n_estimators,max_depth,min_child_weight,learning_rate,gamma,subsample,colsample_bytree,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,942,4005,4.251592356687898,1500,6,3,0.19887554252311984,0.12351497773392955,0.7258991780396716,0.9518755186071435,4005,0,0,942,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,105,445,4.238095238095238,1500,6,3,0.19887554252311984,0.12351497773392955,0.7258991780396716,0.9518755186071435,432,13,33,72,0.6857142857142857,0.9707865168539326,0.8806795066837758,0.9163636363636364,0.9583520599250936,0.6857142857142857,0.8470588235294118,0.7578947368421053,0.7080207732256203,0.713795781671796
1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,119,492,4.1344537815126055,1500,6,3,0.19887554252311984,0.12351497773392955,0.7258991780396716,0.9518755186071435,479,13,45,74,0.6218487394957983,0.9735772357723578,0.8310854755621059,0.9050736497545008,0.927512468401995,0.6218487394957983,0.8505747126436781,0.7184466019417476,0.6630087485736021,0.6747743087317944
