dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,alpha,hidden_layer_sizes,learning_rate,activation,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,942,4005,4.251592356687898,1.846530120458842,"(200, 200, 200)",adaptive,relu,3989,16,2,940,0.9978768577494692,0.9960049937578027,0.9993607818387238,0.9963614311704063,0.9998589873062069,0.9978768577494692,0.9832635983263598,0.9905163329820863,0.9882653589696351,0.9883065233317202
1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,105,445,4.238095238095238,1.846530120458842,"(200, 200, 200)",adaptive,relu,424,21,19,86,0.819047619047619,0.952808988764045,0.871599126137301,0.9272727272727272,0.9515034777956126,0.819047619047619,0.8037383177570093,0.8113207547169811,0.7662806756613194,0.7663330033575019
1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,119,492,4.1344537815126055,1.846530120458842,"(200, 200, 200)",adaptive,relu,468,24,36,83,0.6974789915966386,0.9512195121951219,0.8200160107151246,0.9018003273322422,0.9343957095033135,0.6974789915966386,0.7757009345794392,0.7345132743362831,0.6744805540756527,0.6759145125220019
