dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,C,gamma,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,942,4005,4.251592356687898,36.60920401543821,0.001864864765305247,4004,1,0,942,1.0,0.9997503121098626,0.9999999999999999,0.9997978572872448,1.0,1.0,0.9989395546129375,0.9994694960212203,0.9993446365316051,0.9993448511415723
1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,105,445,4.238095238095238,36.60920401543821,0.001864864765305247,437,8,28,77,0.7333333333333333,0.9820224719101124,0.8806227034470082,0.9345454545454546,0.9506474050294276,0.7333333333333333,0.9058823529411765,0.8105263157894737,0.7714945181765724,0.7777872535413132
1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,119,492,4.1344537815126055,36.60920401543821,0.001864864765305247,483,9,40,79,0.6638655462184874,0.9817073170731707,0.8351318060958567,0.9198036006546645,0.9299036687845871,0.6638655462184874,0.8977272727272727,0.7632850241545892,0.7163067476523931,0.7281303237296665
