dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,min_impurity_decrease,criterion,bootstrap,tn,fp,fn,tp,se,sp,auc_prc,acc,auc_roc,recall,precision,f1,kappa,mcc
1-AR-Alva-6108-slim-Normalize-group.csv,activity,tr,1508,6108,942,4005,4.251592356687898,226,10,4,2,0.6558709526720025,0.06106556710136113,entropy,True,3990,15,680,262,0.2781316348195329,0.9962546816479401,0.7209547671283796,0.8595108146351325,0.8829790786993965,0.2781316348195329,0.9458483754512635,0.4298605414273995,0.3758465287894672,0.46858764788922574
1-AR-Alva-6108-slim-Normalize-group.csv,activity,va,1508,6108,105,445,4.238095238095238,226,10,4,2,0.6558709526720025,0.06106556710136113,entropy,True,445,0,79,26,0.24761904761904763,1.0,0.6696306159114056,0.8563636363636363,0.8698662386302835,0.24761904761904763,1.0,0.3969465648854962,0.34749962456825345,0.4585707887583284
1-AR-Alva-6108-slim-Normalize-group.csv,activity,te,1508,6108,119,492,4.1344537815126055,226,10,4,2,0.6558709526720025,0.06106556710136113,entropy,True,488,4,89,30,0.25210084033613445,0.991869918699187,0.7127823376836466,0.8477905073649754,0.8902268224362916,0.25210084033613445,0.8823529411764706,0.39215686274509803,0.3345551638931503,0.42146978370197064
