Model: RF ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9583383869011521,0.002443252400713802,0.9072727272727272,0.01208783282806884,0.9090016366612111,0.008940425717674397
auc_roc,0.9894199558262425,0.0007982861913410002,0.9306219373075066,0.011358068168011668,0.9324438752065796,0.008584373160260901
recall,0.7882091109280629,0.014837036230585994,0.5793808843808299,0.036852239764926735,0.5832775291008423,0.02933075405682158
precision,0.9905314575925754,0.0024756796140748623,0.9119913450823434,0.022111182088440515,0.9209865652759689,0.03355570289314376
f1,0.8777819523651947,0.009132755237436277,0.7076775620762354,0.026377572392656295,0.7135953097156629,0.024696602498285515
kappa,0.8530656401242125,0.010401806108876801,0.6559407118669001,0.030994544658881122,0.6627291863821844,0.027824150091390474
mcc,0.8612058423425758,0.009205715283728497,0.6803953511879175,0.025246604231352377,0.6875608493366244,0.02645906685120489
auc_prc,0.974804638165384,0.0017302344429480547,0.8438031847807007,0.018046537938537374,0.8450193565930653,0.013941367160088517
