Model: MLP ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9934707903780069,0.003585455617776577,0.9107272727272726,0.011250711639567262,0.9027823240589197,0.00825500504937381
auc_roc,0.9993829642164181,0.0006052912971031784,0.9246706358486672,0.01857467637746171,0.913816347004008,0.01741988747932424
recall,0.9846666968374501,0.01116184644230951,0.747684646820026,0.05631503544684909,0.729798454613045,0.0348465504356106
precision,0.9812511138108864,0.013211468812268173,0.7846206861346544,0.03770866482956689,0.7634150063375921,0.048326362369634356
f1,0.9828891134843944,0.00929525947906098,0.7637071156210747,0.027022631131282313,0.7445019136727826,0.022311801148768923
kappa,0.9788552550927856,0.011514857832313737,0.7087260700725811,0.03158553322454752,0.6846063578917364,0.025852342201423285
mcc,0.9789082824851911,0.011445704972151298,0.7104620965310822,0.0318890897816293,0.6860626947019249,0.025684216136860307
auc_prc,0.9971970906313885,0.0033950146115027495,0.8432610395986646,0.0265280313773976,0.8099366399863565,0.028615351385914672
