Model: XGB ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9947442894683647,0.013874708266444411,0.9139999999999999,0.010603289681326067,0.9096563011456629,0.006456000956895582
auc_roc,0.9985474747061392,0.004327156703585466,0.9414956299743815,0.011443674140514424,0.9357228569979344,0.0069902455893859254
recall,0.9766890858148332,0.060043886816526455,0.6655357352534893,0.042677909655673536,0.6529135673143261,0.023867289660665644
precision,0.9956683168316832,0.012995049504950508,0.8596791585292725,0.04092441875905733,0.8486660949193727,0.031740041766534735
f1,0.9854441290952533,0.03863469185377445,0.749113574003659,0.03127342143364813,0.7374074065113285,0.016193777216116804
kappa,0.9822656082483456,0.047005342702246516,0.698272662238575,0.035601709347986815,0.6839518747856399,0.01794108831920015
mcc,0.9827928229675191,0.04546405941960759,0.707410742338914,0.03432971574608497,0.6929560379621276,0.018423487086775405
auc_prc,0.9957136270980099,0.01274384318931414,0.8595762032780359,0.025440630419167512,0.8497870830557185,0.015557912831637816
