model: EXT ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.854720032342834,0.007594246412571707,0.8465454545454545,0.016367676268984582,0.8500818330605565,0.015752811018678835
auc_roc,0.8832635572221239,0.0021075514921252564,0.883562832200378,0.012417551046097583,0.8871602002253928,0.013718417255814257
recall,0.24547414216327343,0.045123526250433595,0.2215867777583982,0.053045356034449445,0.24646063724256914,0.04142481753262114
precision,0.9639087735285041,0.017293702811301208,0.9524705251439123,0.04610533950890992,0.9481526221599751,0.03815949613280894
f1,0.3886274749292092,0.061462219230700096,0.35544857450123657,0.07607130825013733,0.38882052238991927,0.05246631311034177
kappa,0.3385082685254358,0.05557422150015593,0.305953244193518,0.06738017463841717,0.3364306546999377,0.050252874915405595
mcc,0.4420965775994959,0.043775750407623285,0.41208351356288625,0.05736945089781871,0.4372774982034552,0.03778276863656928
auc_prc,0.7172079793945112,0.006707627646761338,0.71151562964806,0.022813954440066304,0.72019754364786,0.031137738965501083
