Model: SVM ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9998585001010714,9.263342823844398e-05,0.9198181818181818,0.008736737292170149,0.9183306055646483,0.006230070805458056
auc_roc,1.0,0.0,0.9399452440231173,0.01005046805364056,0.9345160253285403,0.006024768274855647
recall,1.0,0.0,0.6886696758238093,0.03201214756979234,0.6689293786943837,0.031080987179783526
precision,0.9992554344174926,0.0004875546812435967,0.8707021708412522,0.03696608232326619,0.8823365181531739,0.02899715698535713
f1,0.9996275190814755,0.00024390714339210298,0.7683429208820901,0.024368605658394302,0.7604040685512129,0.023562604813651616
kappa,0.9995401759303537,0.0003010697993793996,0.7206396619876929,0.02757288247454085,0.7122790020194649,0.02535392626098255
mcc,0.9995403268717673,0.0003009709412653974,0.728442003951882,0.02747855969953794,0.7225641592193748,0.02453595325479975
auc_prc,1.0,4.965068306494546e-17,0.844613586590099,0.03181316821231894,0.8472484386682586,0.024753601710752644
