Model: LGB ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9728926622195271,0.01981770908387844,0.9096363636363638,0.010819327670408609,0.909165302782324,0.007364975450081829
auc_roc,0.9929271599747486,0.008107986830292612,0.9388949908087557,0.011164779091029845,0.9348391890807892,0.00484861771563064
recall,0.8709429417769259,0.09425153871749183,0.6379768452089987,0.03363687321206333,0.6524196009296503,0.04388868798903906
precision,0.9819795008667958,0.01580274512662761,0.8632145002212711,0.04226126969301242,0.8483079871685308,0.03487651990116581
f1,0.921126165442207,0.0604759052917788,0.732295674282373,0.020015074248986568,0.7357396976033543,0.022374439318340274
kappa,0.9049642511210593,0.07206014464095913,0.6795072706027874,0.02504442436155883,0.6821932429191729,0.024616929507092277
mcc,0.9086845846986001,0.0682124308809676,0.6917237052497489,0.02339458375474012,0.691945412503266,0.019982653410052065
auc_prc,0.9786110308294319,0.023697050186297804,0.8510356714200176,0.020239911329431714,0.8452900991098767,0.013031435474455276
