Model: GBC ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9540933899332928,0.0013330695042488836,0.9090909090909092,0.010817799840468025,0.9076923076923077,0.00914775031913723
auc_roc,0.9840505935212353,0.0013912771949504696,0.932054746105698,0.010545421813131138,0.9318718235781276,0.00817997593995254
recall,0.7701376508952652,0.010286319769026235,0.6068115780320801,0.02817529845224072,0.6013106770537785,0.02811484157544022
precision,0.9849401823424626,0.003336457895469406,0.8906421726993161,0.027841186900705302,0.8908515607253038,0.03764396077734399
f1,0.8643472676160646,0.006185471131364545,0.7212402194826326,0.021200820205278234,0.7170793644094939,0.020758933900179695
kappa,0.8372159948527343,0.006782997165451753,0.6692635850478847,0.025356362737253568,0.664489948947677,0.025019789571976172
mcc,0.846421741475179,0.00592961485983141,0.6872827442689047,0.02320354686008454,0.6834327337672605,0.02351108567452694
auc_prc,0.9609510151805638,0.00215252967361045,0.8431062487851794,0.019367947693802928,0.8410699911771292,0.012002698571891852
