model: GAT,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.8983831354891526,0.008138545702305993,0.8959016393442623,0.01173591890432488,0.8980392156862743,0.009015107336035132
auc_roc,0.9353793476767635,0.005744929240189489,0.9195079890357057,0.017118487628671138,0.9189446617958981,0.015041899901693656
recall,0.4890566538787288,0.06138219681145416,0.49019170032357995,0.06246645035298355,0.4865796742879775,0.06386721013886042
precision,0.9640731471456967,0.036051588378930376,0.9497056012362745,0.042490903459277585,0.9452528026418767,0.049732916026786096
f1,0.6452984953562225,0.04682082361309133,0.6433655915991426,0.05060712651320489,0.6378238998739745,0.045013649047155685
kappa,0.59376692843306,0.047419794312173746,0.5900596070633501,0.05244256738675314,0.5860591228185781,0.045339155125624545
mcc,0.6421602010061793,0.03222049429039187,0.6360219784321856,0.040294032978974166,0.6321841110469892,0.028298539462498568
auc_prc,0.840625975411978,0.012439942927018114,0.8128245272859097,0.039850478514995416,0.8091326733016162,0.030625153335980662
