model: GCN,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9229226361031518,0.10097295721284473,0.8603278688524589,0.07387169742689675,0.8544117647058822,0.07664583154698063
auc_roc,0.9858660572293758,0.016536640877322407,0.9241896038632348,0.016471005575020608,0.9188579073931097,0.015480776328888772
recall,0.9422627636032278,0.06982461445086703,0.7673107415085985,0.10623758594800649,0.7655078555063185,0.1072872358357396
precision,0.8212487352492941,0.216095541903291,0.6724025876599222,0.14697270710511115,0.6500416563479267,0.1477754098029482
f1,0.8566033212653348,0.15110868602029567,0.6953451093591303,0.07572734425297738,0.6795217280882871,0.07089253364598253
kappa,0.8117450972256088,0.207799267302126,0.6114505526807557,0.11418024554954544,0.5936792707193081,0.1103378061124391
mcc,0.8303733522838572,0.17556588830144426,0.6290954857196928,0.08902638138074358,0.6138245662484445,0.07809868874593884
auc_prc,0.9621627137195208,0.04110021177291589,0.8287355830057648,0.03758318197524114,0.8222705241578552,0.026259417398443858
