model: MPNN,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9164756446991404,0.00870226969710804,0.8936065573770492,0.010736140544283894,0.8988562091503267,0.009540301030715686
auc_roc,0.9371292676278774,0.01166672492207874,0.90894817461702,0.015533606089485284,0.9074632786849295,0.01620194006821963
recall,0.6493621897568821,0.06341728475530305,0.5866818417092144,0.08430930442640865,0.6116063821481006,0.04750069921562873
precision,0.8898961877245114,0.0580905586646285,0.8198220907948676,0.04828499198354071,0.8061429784484456,0.07530371851661859
f1,0.7467437447173657,0.033888216734254566,0.6777812845949491,0.04560201273334593,0.6919344364141897,0.033177490248959864
kappa,0.6984902633666328,0.03714911825483824,0.616447425846336,0.04486298494844151,0.632972300357338,0.037203099835726505
mcc,0.7133105393828953,0.031305933968558325,0.6321782665616367,0.035597452886193384,0.6437833744287362,0.03875283546771155
auc_prc,0.8527595540249944,0.02602496641558866,0.7837698431035257,0.04550788749002535,0.7846926930044136,0.03748315205060821
